,score_margin,minute
10,2,1.0333333333333334
11,0,1.4166666666666667
16,-2,1.9833333333333334
17,1,2.2666666666666666
18,-2,2.533333333333333
19,0,2.816666666666667
25,2,3.5166666666666666
27,-1,3.783333333333333
28,2,4.05
38,-1,5.05
41,-3,5.6
42,-1,5.983333333333333
47,-4,6.75
48,-2,7.116666666666666
52,1,7.433333333333334
53,-2,7.683333333333334
54,0,7.833333333333333
58,-2,8.3
63,0,8.583333333333334
73,-2,9.883333333333333
80,-1,10.533333333333333
89,1,11.05
90,-1,11.166666666666666
91,1,11.333333333333334
94,4,11.783333333333333
96,2,11.95
98,2,12.0
99,2,12.0
103,1,12.433333333333334
104,0,12.433333333333334
110,1,12.7
111,-1,12.833333333333334
112,1,13.016666666666667
113,-1,13.2
116,-4,13.5
117,-2,13.783333333333333
123,0,14.666666666666666
125,-1,14.816666666666666
126,-2,14.816666666666666
127,1,15.066666666666666
128,-1,15.433333333333334
129,1,15.683333333333334
135,2,16.05
140,-1,16.85
146,0,17.083333333333332
150,2,17.733333333333334
159,0,18.266666666666666
160,3,18.566666666666666
161,1,18.933333333333334
163,3,19.316666666666666
165,4,19.316666666666666
172,7,19.866666666666667
173,4,20.266666666666666
177,5,20.483333333333334
184,3,20.95
185,6,21.233333333333334
186,4,21.466666666666665
187,6,21.666666666666668
188,4,21.883333333333333
191,3,21.883333333333333
194,1,22.483333333333334
198,-2,23.133333333333333
202,-3,23.583333333333332
203,-4,23.583333333333332
204,-2,23.916666666666668
207,-2,24.0
208,-2,24.0
209,1,24.283333333333335
213,3,25.033333333333335
216,3,25.2
217,4,25.2
218,5,25.2
220,6,25.416666666666668
223,3,25.8
224,6,26.266666666666666
225,4,26.483333333333334
226,7,26.8
227,4,26.983333333333334
228,6,27.216666666666665
232,5,27.483333333333334
233,4,27.483333333333334
234,6,27.7
235,4,28.1
238,2,28.533333333333335
240,4,28.733333333333334
241,2,29.133333333333333
243,0,29.733333333333334
245,-1,29.733333333333334
248,1,30.0
249,-2,30.183333333333334
250,1,30.383333333333333
251,-1,30.683333333333334
254,-4,31.183333333333334
261,-1,31.533333333333335
267,1,32.166666666666664
270,3,32.583333333333336
274,1,32.78333333333333
275,4,33.05
281,2,33.85
286,4,34.483333333333334
288,2,34.88333333333333
297,2,36.0
298,2,36.0
299,-1,36.36666666666667
301,-4,36.766666666666666
310,-3,37.9
311,-2,37.9
316,1,38.31666666666667
321,4,38.833333333333336
326,6,39.516666666666666
327,4,39.86666666666667
330,2,40.36666666666667
331,5,40.65
335,6,41.083333333333336
339,7,41.083333333333336
345,5,41.61666666666667
346,8,41.833333333333336
355,5,42.833333333333336
358,7,43.2
361,5,43.63333333333333
362,8,44.05
363,5,44.43333333333333
367,4,44.833333333333336
373,4,45.083333333333336
378,2,45.46666666666667
381,0,45.95
387,1,46.31666666666667
390,2,46.31666666666667
391,0,46.53333333333333
394,-3,47.1
395,0,47.25
404,0,48.0
405,0,48.0
407,-2,48.31666666666667
408,0,48.733333333333334
413,2,49.266666666666666
414,0,49.63333333333333
417,-3,50.016666666666666
422,0,51.05
431,-2,51.583333333333336
440,0,52.6
452,2,53.0
453,2,53.0
454,2,53.0
